2023-06-21 11:30:40,034 INFO    StreamThr :29635 [internal.py:wandb_internal():86] W&B internal server running at pid: 29635, started at: 2023-06-21 11:30:40.033240
2023-06-21 11:30:40,036 DEBUG   HandlerThread:29635 [handler.py:handle_request():144] handle_request: status
2023-06-21 11:30:40,037 INFO    WriterThread:29635 [datastore.py:open_for_write():85] open: /home/andrea/Documenti/Computer Science/Natural Language Procesing/nlp2023-hw2/wandb/run-20230621_113040-rjxaf4q7/run-rjxaf4q7.wandb
2023-06-21 11:30:40,039 DEBUG   SenderThread:29635 [sender.py:send():375] send: header
2023-06-21 11:30:40,039 DEBUG   SenderThread:29635 [sender.py:send():375] send: run
2023-06-21 11:30:40,486 INFO    SenderThread:29635 [dir_watcher.py:__init__():219] watching files in: /home/andrea/Documenti/Computer Science/Natural Language Procesing/nlp2023-hw2/wandb/run-20230621_113040-rjxaf4q7/files
2023-06-21 11:30:40,487 INFO    SenderThread:29635 [sender.py:_start_run_threads():1124] run started: rjxaf4q7 with start time 1687339840.031864
2023-06-21 11:30:40,487 DEBUG   SenderThread:29635 [sender.py:send_request():402] send_request: summary_record
2023-06-21 11:30:40,487 DEBUG   HandlerThread:29635 [handler.py:handle_request():144] handle_request: check_version
2023-06-21 11:30:40,487 INFO    SenderThread:29635 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-21 11:30:40,488 DEBUG   SenderThread:29635 [sender.py:send_request():402] send_request: check_version
2023-06-21 11:30:40,595 DEBUG   HandlerThread:29635 [handler.py:handle_request():144] handle_request: run_start
2023-06-21 11:30:40,600 DEBUG   HandlerThread:29635 [system_info.py:__init__():31] System info init
2023-06-21 11:30:40,600 DEBUG   HandlerThread:29635 [system_info.py:__init__():46] System info init done
2023-06-21 11:30:40,600 INFO    HandlerThread:29635 [system_monitor.py:start():181] Starting system monitor
2023-06-21 11:30:40,600 INFO    SystemMonitor:29635 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-21 11:30:40,600 INFO    HandlerThread:29635 [system_monitor.py:probe():201] Collecting system info
2023-06-21 11:30:40,601 INFO    SystemMonitor:29635 [interfaces.py:start():190] Started cpu monitoring
2023-06-21 11:30:40,602 INFO    SystemMonitor:29635 [interfaces.py:start():190] Started disk monitoring
2023-06-21 11:30:40,603 INFO    SystemMonitor:29635 [interfaces.py:start():190] Started gpu monitoring
2023-06-21 11:30:40,604 INFO    SystemMonitor:29635 [interfaces.py:start():190] Started memory monitoring
2023-06-21 11:30:40,606 INFO    SystemMonitor:29635 [interfaces.py:start():190] Started network monitoring
2023-06-21 11:30:40,651 DEBUG   HandlerThread:29635 [system_info.py:probe():195] Probing system
2023-06-21 11:30:40,652 DEBUG   HandlerThread:29635 [system_info.py:_probe_git():180] Probing git
2023-06-21 11:30:40,656 DEBUG   HandlerThread:29635 [system_info.py:_probe_git():188] Probing git done
2023-06-21 11:30:40,656 DEBUG   HandlerThread:29635 [system_info.py:probe():240] Probing system done
