train_loss_batch,epoch,step
16.74222755432129,0,1299
16.74222755432129,0,1349
16.74222755432129,0,1399
16.74222755432129,0,1449
16.74222755432129,0,1499
16.74222755432129,0,1549
16.74222755432129,0,1599
16.74222755432129,0,1649
16.74222755432129,0,1699
16.74222755432129,0,1749
16.74222755432129,0,1799
16.74222755432129,0,1849
16.74222755432129,0,1899
16.74222755432129,0,1949
16.74222755432129,0,1999
16.74222755432129,0,2049
16.74222755432129,0,2099
16.74222755432129,0,2149
16.74222755432129,0,2199
16.74222755432129,0,2249
16.74222755432129,0,2299
16.74222755432129,0,2349
16.74222755432129,0,2399
16.74222755432129,0,2449
16.74222755432129,0,2499
16.74222755432129,0,2549
16.74222755432129,0,2599
16.74222755432129,0,2649
16.74222755432129,0,2699
16.74222755432129,0,2749
16.74222755432129,0,2799
16.74222755432129,0,2849
16.74222755432129,0,2899
16.74222755432129,0,2949
16.74222755432129,0,2999
16.74222755432129,0,3049
16.74222755432129,0,3099
16.74222755432129,0,3149
16.74222755432129,0,3199
16.74222755432129,0,3249
16.74222755432129,0,3299
16.74222755432129,0,3349
16.74222755432129,0,3399
16.74222755432129,0,3449
16.74222755432129,0,3499
16.74222755432129,0,3549
16.74222755432129,0,3599
16.74222755432129,0,3649
16.74222755432129,0,3699
16.74222755432129,0,3749
16.74222755432129,0,3799
16.74222755432129,0,3849
16.74222755432129,0,3899
16.74222755432129,0,3949
16.74222755432129,0,3999
16.74222755432129,0,4049
16.74222755432129,0,4099
16.74222755432129,0,4149
16.74222755432129,0,4199
16.74222755432129,0,4249
16.74222755432129,0,4299
16.74222755432129,0,4349
16.74222755432129,0,4399
16.74222755432129,0,4449
16.74222755432129,0,4499
16.74222755432129,0,4549
16.74222755432129,0,4599
16.74222755432129,0,4649
16.74222755432129,0,4699
16.74222755432129,0,4749
16.74222755432129,0,4799
16.74222755432129,0,4849
16.74222755432129,0,4899
16.74222755432129,0,4949
