2023-06-21 11:45:40,927 INFO    StreamThr :33181 [internal.py:wandb_internal():86] W&B internal server running at pid: 33181, started at: 2023-06-21 11:45:40.927354
2023-06-21 11:45:40,929 DEBUG   HandlerThread:33181 [handler.py:handle_request():144] handle_request: status
2023-06-21 11:45:40,931 INFO    WriterThread:33181 [datastore.py:open_for_write():85] open: /home/andrea/Documenti/Computer Science/Natural Language Procesing/nlp2023-hw2/wandb/run-20230621_114540-342l216t/run-342l216t.wandb
2023-06-21 11:45:40,933 DEBUG   SenderThread:33181 [sender.py:send():375] send: header
2023-06-21 11:45:40,933 DEBUG   SenderThread:33181 [sender.py:send():375] send: run
2023-06-21 11:45:41,358 INFO    SenderThread:33181 [dir_watcher.py:__init__():219] watching files in: /home/andrea/Documenti/Computer Science/Natural Language Procesing/nlp2023-hw2/wandb/run-20230621_114540-342l216t/files
2023-06-21 11:45:41,358 INFO    SenderThread:33181 [sender.py:_start_run_threads():1124] run started: 342l216t with start time 1687340740.925771
2023-06-21 11:45:41,358 DEBUG   SenderThread:33181 [sender.py:send_request():402] send_request: summary_record
2023-06-21 11:45:41,359 DEBUG   HandlerThread:33181 [handler.py:handle_request():144] handle_request: check_version
2023-06-21 11:45:41,359 INFO    SenderThread:33181 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-21 11:45:41,359 DEBUG   SenderThread:33181 [sender.py:send_request():402] send_request: check_version
2023-06-21 11:45:41,462 DEBUG   HandlerThread:33181 [handler.py:handle_request():144] handle_request: run_start
2023-06-21 11:45:41,466 DEBUG   HandlerThread:33181 [system_info.py:__init__():31] System info init
2023-06-21 11:45:41,466 DEBUG   HandlerThread:33181 [system_info.py:__init__():46] System info init done
2023-06-21 11:45:41,466 INFO    HandlerThread:33181 [system_monitor.py:start():181] Starting system monitor
2023-06-21 11:45:41,466 INFO    HandlerThread:33181 [system_monitor.py:probe():201] Collecting system info
2023-06-21 11:45:41,467 INFO    SystemMonitor:33181 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-21 11:45:41,468 INFO    SystemMonitor:33181 [interfaces.py:start():190] Started cpu monitoring
2023-06-21 11:45:41,469 INFO    SystemMonitor:33181 [interfaces.py:start():190] Started disk monitoring
2023-06-21 11:45:41,470 INFO    SystemMonitor:33181 [interfaces.py:start():190] Started gpu monitoring
2023-06-21 11:45:41,471 INFO    SystemMonitor:33181 [interfaces.py:start():190] Started memory monitoring
2023-06-21 11:45:41,471 INFO    SystemMonitor:33181 [interfaces.py:start():190] Started network monitoring
2023-06-21 11:45:41,539 DEBUG   HandlerThread:33181 [system_info.py:probe():195] Probing system
2023-06-21 11:45:41,540 DEBUG   HandlerThread:33181 [system_info.py:_probe_git():180] Probing git
2023-06-21 11:45:41,544 DEBUG   HandlerThread:33181 [system_info.py:_probe_git():188] Probing git done
2023-06-21 11:45:41,544 DEBUG   HandlerThread:33181 [system_info.py:probe():240] Probing system done
